dest_vaddr,from_vaddr,from_func
8004117c,80193e1c,reset_ecu_state_80193df2
800411a8,801580ea,
800411ee,800dff8a,process_sensor_data_800dff76
800411fa,8019508c,initialize_ecu_state_8019507c
80041208,80157f42,
8004120a,80157f4c,
80041210,801580ba,
80041216,801580ae,
800412aa,80193846,initialize_ecu_parameters_80193830
800412aa,801938b8,initialize_ecu_state_801938a2
80041314,80199fd2,clear_uds_transfer_buffer_80199fc8
80041346,800e0026,decrement_and_check_counter
80041346,800e0022,decrement_and_check_counter
8004137e,80194e24,update_sensor_data_80194e18
8004137f,80194e1e,update_sensor_data_80194e18
8004138d,801934b6,initialize_ecu_state_80193474
8004138d,800e0288,update_status_flag_800e01ce
80041390,80193858,initialize_ecu_parameters_80193830
80041390,801938cc,initialize_ecu_state_801938a2
800413bf,800e0226,update_status_flag_800e01ce
8004140b,80193850,initialize_ecu_parameters_80193830
8004140b,801938c2,initialize_ecu_state_801938a2
80041429,80195082,initialize_ecu_state_8019507c
800415c6,8019b254,copy_table_8019b248
800415c8,8019b254,copy_table_8019b248
800415ca,8019b254,copy_table_8019b248
800415e0,8019c08e,reset_calibration_data
800415e0,8019c102,reset_calibration_data_8019c0ec
80041646,8019c084,reset_calibration_data
80041bec,801c180e,update_control_flags_801c17f0
80041c35,801c1832,update_control_flags_801c17f0
80041c35,801c182e,update_control_flags_801c17f0
80041c36,8015f6ea,update_status_flags_8015f6ac
80041c37,80160070,
80041d46,8019f042,reset_state_8019ef90
80041d47,8019ff24,reset_flags_and_copy_data
80041d49,8019fef8,reset_flags_and_copy_data
80041d49,8019fef4,reset_flags_and_copy_data
80041d4c,8019f1ca,reset_state_8019f0fc
80041d4c,8019f1c6,reset_state_8019f0fc
80041dc6,800a7b14,
800421fc,801c95b8,initialize_ecu_state_801c95a0
800421fd,801c95be,initialize_ecu_state_801c95a0
800421fe,801c95c4,initialize_ecu_state_801c95a0
800421ff,801c95ca,initialize_ecu_state_801c95a0
80042200,801c95d0,initialize_ecu_state_801c95a0
80042238,801c95a6,initialize_ecu_state_801c95a0
8004239c,80100254,
8004239c,80100266,
8004239c,80100272,
800423a6,80100120,
800423be,801004e8,
800423c6,80100574,
800423ce,80100554,
800423d6,8010010e,
800423d8,80100102,
800423ec,801004d0,
800423f2,801002a6,
800423f4,801001a8,
80042402,80100522,
80042403,80100518,
8004240d,801005e0,
80042411,8010049a,
80042412,80100562,
8004241f,80100294,
80042420,80100196,
8004242b,8010066c,
8004242b,80100668,
8004242c,801004fe,
8004242d,8010050a,
8004242d,801005ce,
8004242d,80100612,
80042430,801002ba,
80042431,801001bc,
80042432,80100178,
80042437,801000c2,
80042438,801000ce,
8004243d,80100084,
8004243e,801000ba,
8004243f,801003b6,
80042441,801000f6,
80042443,8010003e,
80042449,80100282,
8004244a,80100400,
8004269c,80103532,copy_and_process_data
8004269e,80103532,copy_and_process_data
800426a0,80103544,copy_and_process_data
800426a1,80103544,copy_and_process_data
800427a0,801ad0a0,copy_value_801ad098
800427a0,801ad09c,copy_value_801ad098
80042c98,801b5dc8,FUN_801b5900
80042f04,801b72dc,
80042f04,801b7320,
80042f04,801b7332,
80042f04,801b72ec,
80042f04,801b7566,
80042f04,801b75a4,
80042f04,801b75b6,
80042f04,801b7576,
80042f05,801b7374,
80042f05,801b73b8,
80042f05,801b73ca,
80042f05,801b7384,
80042f95,801b733e,
80042f95,801b7306,
80042f95,801b7544,
80042f96,801b73d6,
80042f96,801b739e,
80042f9c,801a682c,update_control_flags_801a67c4
80042f9d,801a6856,update_control_flags_801a67c4
80042f9e,801a6880,update_control_flags_801a67c4
80042f9f,801a67d8,update_control_flags_801a67c4
80042fa0,801a68aa,update_control_flags_801a67c4
80042fa1,801a6b20,update_control_flags_801a67c4
80042fa2,801a68d4,update_control_flags_801a67c4
80042fa3,801a68fe,update_control_flags_801a67c4
80042fa4,801a6928,update_control_flags_801a67c4
80042fa5,801a6af6,update_control_flags_801a67c4
80042fa7,801a6952,update_control_flags_801a67c4
80042fa8,801a697c,update_control_flags_801a67c4
80042fa9,801a6a78,update_control_flags_801a67c4
80042faa,801a69a6,update_control_flags_801a67c4
80042fab,801a69d0,update_control_flags_801a67c4
80042fac,801a6a24,update_control_flags_801a67c4
80042fad,801a69fa,update_control_flags_801a67c4
80042faf,801a6b52,update_control_flags_801a67c4
80042fb0,801a6aa2,update_control_flags_801a67c4
80042fb1,801a6acc,update_control_flags_801a67c4
80042fb2,801a6802,update_control_flags_801a67c4
80042fb3,801a6a4e,update_control_flags_801a67c4
80042ff3,801b1d7e,
800431f2,801100a8,
80043200,801ab544,update_status_flags_801ab530
8004321a,801401c0,
8004323a,801b6cd2,
80043278,801ac9b0,reset_flags_801ac9a0
80043278,801ac9ac,reset_flags_801ac9a0
800434f2,80110050,
800434f2,80110138,
800434f4,801101ca,
80043531,801ae938,update_status_flags_801ae8e8
80043532,801ae9c2,update_status_flags_801ae8e8
80043578,801105be,
8004357a,801103ba,
8004358d,80140296,
800435a6,801b6c6e,
800435ac,801b6cc6,
80043660,801b2614,
80043692,801104ec,
80043694,801104ca,
8004369a,8011028c,
800436ff,8018fa14,initialize_ecu_parameters
800436ff,8018fb62,initialize_globals_8018fb28
80043700,8018fa0a,initialize_ecu_parameters
80043700,8018fb70,initialize_globals_8018fb28
80043702,8011017c,
80043704,801101f6,
80043708,8018fa52,initialize_ecu_parameters
8004371c,801ab2d8,
80043731,801b6c9c,
80043737,801b6c86,
80043743,8018f9c4,initialize_ecu_parameters
80043743,8018fb32,initialize_globals_8018fb28
80043744,8018f9ce,initialize_ecu_parameters
80043744,8018fb40,initialize_globals_8018fb28
80043768,801406e6,
8004376c,8014075a,
8004376e,80140610,
80043772,8018fa78,initialize_ecu_parameters
80043772,8018fba6,initialize_globals_8018fb28
80043773,8018fa82,initialize_ecu_parameters
80043773,8018fbb0,initialize_globals_8018fb28
80043784,8018fa6e,initialize_ecu_parameters
80043798,801ae58c,reset_and_dispatch_801ae55c
8004379a,801b76ea,
8004379c,801b7758,
8004379e,801b7762,
800437a0,801b774e,
800437a2,801b773a,
800437a4,801b7730,
800437a6,801b76f4,
800437ac,801b7744,
800437ae,801b76e0,
800437b0,801b7726,
800437b2,801b76d6,
800437b4,8018f9ee,initialize_ecu_parameters
800437b4,8018fb4e,initialize_globals_8018fb28
800437b5,8018fa2e,initialize_ecu_parameters
800437b5,8018fb58,initialize_globals_8018fb28
800437b6,8018fa5c,initialize_ecu_parameters
800437b6,8018fb8c,initialize_globals_8018fb28
800437b7,8018fa40,initialize_ecu_parameters
800437b7,8018fb7e,initialize_globals_8018fb28
800437b8,801b76cc,
800437ba,801b76fe,
800437bc,801b7708,
800437be,801b771c,
800437c8,8018fa8c,initialize_ecu_parameters
800437c8,8018fbca,initialize_globals_8018fb28
800437c9,801900ba,
800437ca,801900c4,
800437cb,801b7712,
800437cd,801b76c2,
800437cf,801b776c,
800437d8,801c140a,
800437da,801c13fc,
80043817,801b1d3c,update_status_flags_801b1ce4
80043817,801b1d38,update_status_flags_801b1ce4
8004381a,801c13e0,
80043824,801b6c90,
80043826,801901a2,
80043826,8019019e,
80043844,801b1d48,update_status_flags_801b1ce4
8004384e,8018fd90,update_status_flags_8018fc1c
80043850,8018fd84,update_status_flags_8018fc1c
80043852,8018fd48,update_status_flags_8018fc1c
80043854,8018fd3c,update_status_flags_8018fc1c
80043856,8018fd60,update_status_flags_8018fc1c
80043858,8018fd54,update_status_flags_8018fc1c
8004385c,801b1d8e,
8004385c,801b1dfc,
8004385e,801b6ca6,
8004386f,80107738,
80043870,801aed1c,handle_ecu_state_801aec84
80043871,801aedbe,handle_ecu_state_801aec84
8004387b,801a788c,update_status_flags_801a74e8
8004387b,801a6be8,copy_table_801a6b6c
8004387b,801a6c78,copy_table_801a6bfc
8004387c,801a78a8,update_status_flags_801a74e8
8004387d,801a77d6,update_status_flags_801a74e8
8004387d,801a6b70,copy_table_801a6b6c
8004387d,801a6c00,copy_table_801a6bfc
8004387e,801a789a,update_status_flags_801a74e8
8004387e,801a6bf2,copy_table_801a6b6c
8004387e,801a6c82,copy_table_801a6bfc
80043884,801a77e4,update_status_flags_801a74e8
80043884,801a6b7a,copy_table_801a6b6c
80043884,801a6c0a,copy_table_801a6bfc
8004388c,801a780e,update_status_flags_801a74e8
8004388c,801a6b98,copy_table_801a6b6c
8004388c,801a6c28,copy_table_801a6bfc
8004388d,8018fa00,initialize_ecu_parameters
80043890,80110412,
80043892,801a7862,update_status_flags_801a74e8
80043892,801a6bd4,copy_table_801a6b6c
80043892,801a6c64,copy_table_801a6bfc
80043898,801a7870,update_status_flags_801a74e8
80043898,801a6bde,copy_table_801a6b6c
80043898,801a6c6e,copy_table_801a6bfc
8004389c,801a781c,update_status_flags_801a74e8
8004389c,801a6ba2,copy_table_801a6b6c
8004389c,801a6c32,copy_table_801a6bfc
8004389d,801a782a,update_status_flags_801a74e8
8004389d,801a6bac,copy_table_801a6b6c
8004389d,801a6c3c,copy_table_801a6bfc
8004389e,801a787e,update_status_flags_801a74e8
8004389e,801a6c9a,copy_table_801a6c8c
8004389e,801a6cb2,copy_table_801a6ca4
800438a2,801a7854,update_status_flags_801a74e8
800438a2,801a6bca,copy_table_801a6b6c
800438a2,801a6c5a,copy_table_801a6bfc
800438a8,801a78b6,update_status_flags_801a74e8
800438a9,801a77f2,update_status_flags_801a74e8
800438a9,801a6b84,copy_table_801a6b6c
800438a9,801a6c14,copy_table_801a6bfc
800438aa,801a7800,update_status_flags_801a74e8
800438aa,801a6b8e,copy_table_801a6b6c
800438aa,801a6c1e,copy_table_801a6bfc
800438ab,801a7846,update_status_flags_801a74e8
800438ab,801a6bc0,copy_table_801a6b6c
800438ab,801a6c50,copy_table_801a6bfc
800438ab,801a6c90,copy_table_801a6c8c
800438ab,801a6ca8,copy_table_801a6ca4
800438ac,801a7838,update_status_flags_801a74e8
800438ac,801a6bb6,copy_table_801a6b6c
800438ac,801a6c46,copy_table_801a6bfc
800438ad,801ae85c,copy_table_801ae858
800438bc,8018fd30,update_status_flags_8018fc1c
800438c4,801c1418,
800438c4,801c1414,
800438d2,80108aca,
800438d8,8018fd78,update_status_flags_8018fc1c
800438da,8018fd6c,update_status_flags_8018fc1c
800438dc,80190098,
800438de,801900a6,
800438df,801900b0,
800438e2,801b1830,
800438e4,801b183c,
800438e6,801b1824,
800438e8,801b184a,
80043934,80140816,
80043936,8011001a,
80043938,801105dc,
8004393a,8011065e,
8004393c,80110424,
8004393e,8011010e,
80043940,80110822,
80043942,80110730,
80043942,80110762,
80043946,8011020e,
80043960,801c13ee,
80043972,801aece4,handle_ecu_state_801aec84
80043973,801ae866,copy_table_801ae858
80043974,801afff0,reset_globals_801affc4
8004397b,801afffe,reset_globals_801affc4
8004397b,801afffa,reset_globals_801affc4
800439a5,801ae986,update_status_flags_801ae8e8
800439a6,801aea08,update_status_flags_801ae8e8
800439b9,801ae97c,update_status_flags_801ae8e8
800439ba,801ae9fe,update_status_flags_801ae8e8
80043a0f,801ae968,update_status_flags_801ae8e8
80043a10,801ae9ea,update_status_flags_801ae8e8
80043a22,801b42c0,
80043a22,801b42bc,
80043a48,801aff48,calculate_interpolated_value
80043a4c,801af0f4,update_control_flag_801af0e4
80043a4c,801af0f0,update_control_flag_801af0e4
80043a4e,801aed42,handle_ecu_state_801aec84
80043a56,801c43fe,FUN_801c43c4
80043a5a,801c43f4,FUN_801c43c4
80043b24,801b1a4c,initialize_globals_801b1a2c
80043b2e,801b1a30,initialize_globals_801b1a2c
80043b4e,801b1f84,
80043b4e,801b1f80,
80043b68,801b1d0a,update_status_flags_801b1ce4
80043b6e,801b1d18,update_status_flags_801b1ce4
80043b76,801ae922,update_status_flags_801ae8e8
80043b78,801ae9ac,update_status_flags_801ae8e8
80043b7a,801aed5c,handle_ecu_state_801aec84
80043b7c,801aed52,handle_ecu_state_801aec84
80043b8e,801af0aa,copy_table_801af094
80043b90,801af0b8,copy_table_801af094
80043b96,801af0c6,copy_table_801af094
80043b96,801aed6e,handle_ecu_state_801aec84
80043b98,801af0d4,copy_table_801af094
80043b98,801af0d0,copy_table_801af094
80043b98,801aed78,handle_ecu_state_801aec84
80043bb3,801ae90c,update_status_flags_801ae8e8
80043bb4,801ae996,update_status_flags_801ae8e8
80043bb6,801106e8,
80043bc6,801a59d4,update_status_flags_801a59cc
80043bc6,801a5a40,reset_status_flags_801a5a3c
80043bc6,801a5a68,set_status_flags_801a5a64
80043bc6,801a5abc,reset_flags_801a5ab8
80043bc6,801a5aec,update_status_flags_801a5ae8
80043bc6,801a9b0c,check_and_call
80043bc6,801a9b2c,check_and_call_handler_801a9b28
80043bc6,801a5b40,FUN_801a5b3c
80043bc6,801a9b4c,check_engine_control_flags
80043bc6,801a5b68,check_and_reset_flags_801a5b64
80043bc6,801a5b84,reset_control_flags_801a5b80
80043bc6,801a5b94,reset_control_flags_801a5b80
80043bc6,801a9b94,reset_ecu_state_801a9b8c
80043bc6,801a5bc8,update_control_flags_801a5bc4
80043bc6,801a5bec,check_and_call_handler_801a5be8
80043bc6,801a5c18,reset_ecu_state_801a5c10
80043bc6,801a9c20,reset_control_flags_801a9c1c
80043bc6,801a9c78,initialize_ecu_state_801a9c70
80043bc6,801a5c90,reset_system_state
80043bc6,801a5ce0,reset_flags_801a5cdc
80043bc6,801a9d24,update_status_flags_801a9d20
80043bc6,801a5d30,reset_flags_801a5d2c
80043bc6,801a9d5c,reset_ecu_state_801a9d58
80043bc6,801a5d7c,update_status_flags_801a5d78
80043bc6,801a7d8c,handle_error_condition_801a7d80
80043bc6,801a5dd4,update_status_flags_801a5dd0
80043bc6,801a7df0,check_and_call_handler_801a7dec
80043bc6,801a5dfc,check_and_handle_flags
80043bc6,801a7e0c,reset_ecu_state_801a7e04
80043bc6,801a5e24,reset_ecu_state_801a5e18
80043bc6,801a7e68,clear_status_flags_801a7e64
80043bc6,801a9e78,update_status_flags_801a9e74
80043bc6,80169e80,reset_and_dispatch_80169e7c
80043bc6,801a7e90,check_and_reset_flag_801a7e8c
80043bc6,801a7ee0,reset_flags_801a7edc
80043bc6,801a9ee4,reset_flags_801a9ee0
80043bc6,801a7f0c,update_status_flags_801a7f08
80043bc6,801a5f20,clear_status_flags_801a5f1c
80043bc6,801a5f54,FUN_801a5f50
80043bc6,801a7f60,FUN_801a7f5c
80043bc6,801a9f80,clear_status_flags_801a9f7c
80043bc6,801a7f88,check_and_reset_flags_801a7f84
80043bc6,801a7fa4,update_status_flags_801a7fa0
80043bc6,801a5fac,update_status_flags_801a5fa8
80043bc6,801a5fc4,check_and_call_handler_801a5fc0
80043bc6,801a5fe0,check_and_call_handler_801a5fdc
80043bc6,801ab00c,check_and_call_handlers_801ab008
80043bc6,801ab054,check_and_call_handler_801ab050
80043bc6,801ab080,update_status_flags_801ab070
80043bc6,801a9090,reset_flags_801a908c
80043bc6,801a90b0,FUN_801a90ac
80043bc6,801ab0d0,check_and_clear_flag_801ab0cc
80043bc6,801a90f0,update_status_flags_801a90ec
80043bc6,801ab0ec,update_status_flags_801ab0e8
80043bc6,801a9110,check_and_call_handler_801a910c
80043bc6,801a9128,check_and_call_handler_801a9124
80043bc6,801ab12c,check_and_call_handler_801ab128
80043bc6,801a9154,set_error_flags
80043bc6,801a923c,reset_flags_801a9238
80043bc6,801a9268,reset_flags_801a9264
80043bc6,801a9290,update_status_flags_801a928c
80043bc6,801a92e4,update_status_flags_801a92e0
80043bc6,801a930c,check_and_call_handler_801a9308
80043bc6,801a9324,check_and_call_handler_801a9320
80043bc6,801a9348,reset_flags_and_call_handler_801a9344
80043bc6,801a53e4,reset_flags_and_call_handlers
80043bc6,801a9400,reset_flags_801a93fc
80043bc6,801a9428,update_status_flags_801a9424
80043bc6,801a5460,reset_status_flags
80043bc6,801a9460,check_and_call_handler_801a945c
80043bc6,801a9480,reset_control_flags_801a9474
80043bc6,801a5480,update_status_flags_801a547c
80043bc6,801a54ac,update_status_flags_801a54a8
80043bc6,801a54d4,check_and_call_handlers_801a54d0
80043bc6,801a9524,clear_status_flags_801a9520
80043bc6,801a9554,FUN_801a9550
80043bc6,801a95a8,update_control_flags_801a95a4
80043bc6,801a95c4,reset_status_flags_801a95b8
80043bc6,801a5902,handle_param_update
80043bc6,801a5754,handle_param_update
80043bc6,801a583a,handle_param_update
80043bc6,801aa84c,reset_ecu_state_801aa844
80043bc6,801a8844,update_control_flags_801a8840
80043bc6,801a8868,update_status_flags_801a8864
80043bc6,801a8890,update_status_flags_801a888c
80043bc6,801aa8a4,reset_flags_801aa8a0
80043bc6,801a88b8,check_and_handle_flags_801a88b4
80043bc6,801a88e4,check_and_call_handler_801a88e0
80043bc6,801aa8f0,reset_control_flags_801aa8e8
80043bc6,801a8900,update_status_flags_801a88f0
80043bc6,801a8934,clear_status_flags_801a8930
80043bc6,801aa968,update_control_flags_801aa964
80043bc6,801a897c,check_and_reset_flag_801a8978
80043bc6,801a8998,FUN_801a8994
80043bc6,801aa9c0,clear_status_flags_801aa9bc
80043bc6,801a89d8,update_status_flags_801a89d4
80043bc6,801a8ab4,task_dispatch_loop_801a8a7c
80043bc6,80136bb0,reset_control_flags
80043bc6,801aace8,update_status_flags_801aace4
80043bc6,801a8d4e,reset_control_flags_801a8d0c
80043bc6,801aad40,update_status_flags_801aad3c
80043bc6,801aad98,update_status_flags_801aad94
80043bc6,801aadf4,update_status_flags_801aadf0
80043bc6,801aae4c,update_status_flags_801aae48
80043bc6,801a8e94,clear_status_flags_801a8e90
80043bc6,801aaea4,update_control_flags_801aaea0
80043bc6,801aaefc,reset_control_flags_801aaef8
80043bc6,801aaf60,update_status_flags_801aaf5c
80043bc6,801aafb4,update_status_flags_801aafb0
80043bc6,801a8fcc,update_status_flags_801a8fc0
80043bc6,801a8018,reset_flags_and_values_801a800c
80043bc6,801a6010,update_status_flags_801a6008
80043bc6,801aa024,update_status_flags_801aa020
80043bc6,801a6060,reset_control_flags_801a605c
80043bc6,801a8064,check_and_reset_flags_801a8060
80043bc6,801aa07c,update_status_flags_801aa078
80043bc6,801a8084,check_and_call_handler_801a8080
80043bc6,801a80c4,reset_flags_801a80c0
80043bc6,801aa0d4,update_status_flags_801aa0d0
80043bc6,801a80f0,reset_flags_if_conditions_met
80043bc6,801a60f4,reset_flags_801a60f0
80043bc6,801a8120,FUN_801a811c
80043bc6,801aa130,update_status_flags_801aa12c
80043bc6,801a6146,reset_flags_and_values
80043bc6,801a8148,check_and_update_flags
80043bc6,801aa15c,update_control_flags_801aa158
80043bc6,801a8184,reset_flags_and_call_handler
80043bc6,801aa198,check_and_dispatch_801aa194
80043bc6,801a81dc,reset_control_flags_801a81d8
80043bc6,801a6210,reset_flags_801a620c
80043bc6,801a8228,reset_flags_and_values_801a8224
80043bc6,801a6240,reset_control_flags_801a623c
80043bc6,801aa244,reset_status_flags_801aa23c
80043bc6,801a8260,update_status_flags_801a825c
80043bc6,801a828c,update_status_flags_801a8288
80043bc6,801a6298,update_status_flags_801a6294
80043bc6,801aa2a0,reset_and_init_state
80043bc6,801a82b8,check_and_reset_flags_801a82b4
80043bc6,801a82e8,check_and_call_handlers_801a82e4
80043bc6,801a62f4,check_and_dispatch
80043bc6,801a8324,check_and_call_handler_801a8320
80043bc6,801a833c,check_and_call_handler_801a8338
80043bc6,801a835c,check_and_call_handler_801a8358
80043bc6,801aa368,reset_error_flags
80043bc6,801a836c,check_and_call_handler_801a8368
80043bc6,801a8384,initialize_state_801a8380
80043bc6,801aa3c4,update_control_flags_801aa3c0
80043bc6,801aa434,reset_ecu_state_801aa42c
80043bc6,801aa490,reset_flags_and_values_801aa48c
80043bc6,801aa504,set_error_flags_801aa4fc
80043bc6,801a84fc,update_status_flags_801a84f8
80043bc6,801a8550,reset_control_flags_801a854c
80043bc6,801aa55c,reset_control_flags_801aa558
80043bc6,801a85bc,set_flag_bits
80043bc6,801aa60c,update_status_flags_801aa604
80043bc6,801a864c,reset_flags_801a8648
80043bc6,801aa668,clear_status_flags_801aa664
80043bc6,801aa6c4,reset_ecu_state_801aa6bc
80043bc6,801aa720,reset_flags_801aa71c
80043bc6,801aa744,update_status_flags_801aa73c
80043bc6,801aa790,set_initial_state_801aa78c
80043bc6,801a8798,update_status_flags_801a8794
80043bc6,801a87c0,update_status_flags_801a87bc
80043bc6,801a87f0,reset_control_flags_801a87ec
80043bc9,801ab494,process_sensor_data_801ab434
80043bca,801ab486,process_sensor_data_801ab434
80043be4,801b25ec,
80043be4,801b25e8,
80043bfa,801b25fc,
80043c5a,801ae954,update_status_flags_801ae8e8
80043c5b,801ae9d6,update_status_flags_801ae8e8
80043caf,801aa402,update_control_flags_801aa3c0
80043cc8,80108aba,
80043d9b,8018fad2,initialize_ecu_parameters
80043d9c,8018fae2,initialize_ecu_parameters
80043d9d,8018fa9a,initialize_ecu_parameters
80043dcc,801ab5f8,initialize_system_state_801ab5e0
80043dcc,801ab5f4,initialize_system_state_801ab5e0
80043e08,801ae754,update_control_flags_801ae748
80043e08,801ae750,update_control_flags_801ae748
80043e40,80123234,
80043e40,8012372a,
80043e45,80123510,
80043e45,801237e4,
80043e50,801911ea,
80043e50,801911e6,
80043e55,8011050e,
80043e57,801102f8,
80043e5c,80110042,
80043e5c,80110144,
80043e5c,80110154,
80043e88,801238ac,task_dispatch_loop_80123834
80043e88,801232d6,
80043e88,80123742,
80043eb0,801b65b4,update_control_flags_801b6558
80043f2f,80140096,
80043f30,8014042a,
80043f31,801400f2,
80043f32,8014036c,
80043f34,801403be,
80043f36,801403b2,
80043f38,80140140,
80043f3a,801404f4,
80043f3c,80140502,
80043f3e,80140176,
80043f40,80140476,
80043f42,80140364,
80043f58,80108ab4,
80043f6c,80108aae,
80043f7a,8012327c,
80043f7a,80123736,
80043f7b,801238bc,task_dispatch_loop_80123834
80043f7b,801233b6,
80043f7b,80123790,
80043f7c,80123874,task_dispatch_loop_80123834
80043f7c,8012349c,
80043f7c,801237c0,
80043f7d,80123856,task_dispatch_loop_80123834
80043f7d,8012312c,
80043f7d,801236f0,
80043f7d,801236ec,
80043f7e,8012389e,task_dispatch_loop_80123834
80043f7e,80123598,
80043f7e,801237f0,
80043f7f,80123890,task_dispatch_loop_80123834
80043f7f,8012336a,
80043f7f,8012377e,
80043f80,80123848,task_dispatch_loop_80123834
80043f80,80123322,
80043f80,80123760,
80043f85,80123882,task_dispatch_loop_80123834
80043f85,801234d6,
80043f85,801237d2,
80043f87,80123446,
80043f87,801237b4,
80043f89,80123184,
80043f89,8012370c,
80043f8a,80123866,task_dispatch_loop_80123834
80043f8a,801233fe,
80043f8a,801237a2,
8004401a,801be056,update_status_bits_801bdfe8
8004406c,801be2ca,update_status_flags_801be29c
80044078,801bd890,update_control_parameters_801bd888
80044078,801bd88c,update_control_parameters_801bd888
80044078,801be5de,update_status_flags_801be5c4
800440a2,8017852c,
800440a2,80178528,
800440a6,801783b4,
800440ab,801be91a,update_status_flags_801be810
800440ac,8017837e,
800440ad,801782dc,
800440bd,801be872,update_status_flags_801be810
800440bd,801bea18,update_ecu_status_801be9d4
800440ce,80178150,
800440d3,80178520,
800440d4,801783a4,
8004435c,801bf2c4,reset_ecu_state_801bf2b4
800443de,800a85cc,
800443df,800a856c,
800443e0,800a859c,
800443e1,80116e0c,FUN_80116e08
800443f5,800a86ec,
800443f5,800a86e8,
8004441a,800a84ee,update_checksum_and_flag
8004441c,800a8606,
8004441e,800a8532,update_checksum_and_flag_800a8518
80044420,800a864a,
80044434,801bf726,copy_and_select_data
80044436,801bf71c,copy_and_select_data
8004443b,800a8770,
8004443c,800a87a0,
8004443d,800a87d0,
800445d6,801c38f0,reset_ecu_state_801c38bc
800445d6,800a898e,update_ecu_state_800a8934
800445d6,800a898a,update_ecu_state_800a8934
800445d6,800a89e8,update_ecu_state_800a8934
800445df,801c406a,clear_uds_transfer_buffer_801c4064
800445e2,801c2650,update_status_flags_801c25f8
800445e3,801c3926,update_control_registers
800445e3,801c261c,update_status_flags_801c25f8
800445e4,801c391c,update_control_registers
800445e4,801c2638,update_status_flags_801c25f8
800445e6,801c2644,update_status_flags_801c25f8
800445e6,801c2640,update_status_flags_801c25f8
800445ff,800a9128,update_control_state_800a90b4
800445ff,800a9124,update_control_state_800a90b4
800445ff,800a8b6c,update_control_flags_800a8b20
800445ff,800a8df8,update_control_flags_800a8dd0
800445ff,800a8df4,update_control_flags_800a8dd0
800445ff,80164228,update_control_flags_801641c4
800445ff,800fc6f8,update_control_flags_800fc620
800445ff,800fc79e,update_control_flags_800fc620
800445ff,800fc840,update_control_flags_800fc620
800445ff,801b72d4,
800445ff,801b7318,
800445ff,801b736c,
800445ff,801b73b0,
800445ff,801b755c,
800445ff,801b759c,
80044600,801c6976,
80044601,800a9212,update_control_state_800a90b4
80044601,800a8c60,update_control_flags_800a8b20
80044601,800a8d04,update_control_flags_800a8b20
80044606,801c5d9c,task_dispatch_loop_801c5cc4
80044607,801c5d48,task_dispatch_loop_801c5cc4
80044608,801c5de2,task_dispatch_loop_801c5cc4
