cell,byte,low_bit,width,bit_span,factory_value,rule,rule_meaning,allowed,label,confidence,decodes_to,note
39,8,0,3,0-2,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
40,8,3,1,3,0,0x02,codeable (value must be in the allowed list),0 1,CAN TX group enable,PROBABLE,d000a75d,Gates TX bit 0x10000.
41,8,5,1,5,0,0x10,LOCKED - rejected unless equal to the factory value,,CAN TX group enable,PROBABLE,d000a75e,Gates TX bit 0x200000.
42,8,7,1,7,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
43,9,0,3,0-2,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
44,9,3,2,3-4,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
45,9,5,2,5-6,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
46,9,7,1,7,0,0x10,LOCKED - rejected unless equal to the factory value,,(unknown),UNKNOWN,,
47,3,5,1,5,0,0x02,codeable (value must be in the allowed list),0 1,CAN TX group enable,PROBABLE,d000a742,Gates TX bit 0x200.
48,8,4,1,4,0,0x02,codeable (value must be in the allowed list),0 1,(unknown),UNKNOWN,,
